Cod.,Magnitud,Abrevia.,Unidad,CódigoTécnica,Técnicademedida,
01,DióxidodeAzufre,SO2,µg/m3,38,Fluorescenciaultravioleta,
06,MonóxidodeCarbono,CO,mg/m3,48,Absorcióninfrarroja,
07,MonóxidodeNitrógeno,NO,µg/m3,08,Quimioluminiscencia,
08,DióxidodeNitrógeno,NO2,µg/m3,08,Quimioluminiscencia,
09,Partículas<2.5µm,PM2.5,µg/m3,47,Microbalanza/Espectrometría*,
10,Partículas<10µm,PM10,µg/m3,47,Microbalanza/Espectrometría*,
12,ÓxidosdeNitrógeno,NOx,µg/m3,08,Quimioluminiscencia,
14,Ozono,O3,µg/m3,06,Absorciónultravioleta,
20,Tolueno,TOL,µg/m3,59,Cromatografíadegases,
30,Benceno,BEN,µg/m3,59,Cromatografíadegases,
35,Etilbenceno,EBE,µg/m3,59,Cromatografíadegases,
37,Metaxileno,MXY,µg/m3,59,Cromatografíadegases,
38,Paraxileno,PXY,µg/m3,59,Cromatografíadegases,
39,Ortoxileno,OXY,µg/m3,59,Cromatografíadegases,
42,Hidrocarburostotales(hexano),TCH,mg/m3,59,Cromatografíadegases,
43,Metano,CH4,mg/m3,59,Cromatografíadegases,
44,Hidrocarburosnometánicos(hexano),NMHC,mg/m3,59,Cromatografíadegases,
431,Metaparaxileno,MPX,mg/m3,59,Cromatografíadegases,
